,A,B,C,D,E,F,G,H,I,J
0,24.27416,44.060309,38.042403,23.853583,56.173561,46.165986,48.815686,38.784804,20.161877,22.804133
1,45.120562,56.535375,46.4499,49.26013,17.749178,24.752103,27.467681,30.235241,49.903809,14.040359
2,27.968329,52.152439,42.164799,32.029369,17.682274,50.218367,31.673754,38.609103,49.810403,18.362207
3,45.180275,56.494266,50.646558,27.834947,17.66158,20.368609,40.211498,30.174628,49.980352,22.829204
4,45.192691,26.497942,29.244843,53.748191,17.648711,41.811961,31.730716,43.063449,50.435839,22.777214
5,32.2464,48.292338,38.124836,49.668335,17.624427,37.871379,49.404214,17.233632,50.605041,22.837859
6,23.721098,43.721057,33.688174,44.88657,34.840374,50.344499,18.866067,42.994877,49.953538,18.658081
7,23.436425,38.947532,50.252697,40.255442,55.859317,20.048693,22.776337,38.291473,45.314277,22.473483
8,23.419954,30.456467,24.662965,53.074668,30.170374,45.768197,31.415716,34.096944,49.726604,35.317981
9,23.619119,52.336351,55.040877,27.550797,34.718029,28.795955,35.897733,17.03794,50.147048,35.629482
10,23.56144,39.193939,41.912514,31.815376,25.916602,20.150474,52.9797,42.831993,45.528838,35.427355
11,27.880282,30.703348,50.662104,31.977184,17.619775,54.664997,40.228602,30.146763,32.84215,44.248393
12,40.533968,26.328991,41.766993,48.746156,17.48851,50.062224,22.892176,38.43697,49.763916,22.575711
13,44.857277,34.750038,37.489087,48.888675,17.328146,20.065741,48.667874,38.458733,49.917331,18.250404
14,23.376182,49.751968,41.888863,23.09751,52.3432,32.922135,56.371847,25.573358,60.613847,18.210111
