,A,B,C,D,E,F,G,H,I,J
0,27.881243,42.327861,37.914566,22.164286,48.880292,17.086437,31.50111,27.095871,42.526058,9.82303
1,23.035261,33.810232,44.557483,25.098842,35.833447,27.730225,38.42632,15.252884,45.820976,9.417246
2,23.168751,41.505,29.677824,25.36166,35.981532,16.585811,31.053321,41.765398,45.913172,9.530881
3,19.132652,33.653068,25.57874,36.260181,39.419098,20.118118,27.10464,41.561015,45.898832,9.55312
4,38.365855,30.134689,41.086963,25.12865,32.282284,16.405269,19.726199,47.070166,42.654058,9.597111
5,30.78609,37.882568,25.825106,33.054804,39.985778,16.517145,19.696927,42.175653,46.455949,9.489268
6,19.235332,26.329273,29.537333,32.741419,35.862215,20.179276,38.491727,46.484874,42.159646,9.559077
7,26.848051,33.834445,49.299221,21.431525,28.346085,35.327398,15.943563,42.773998,38.447842,9.579569
8,31.690186,42.653201,38.216209,17.534876,44.925503,20.307601,32.146227,47.253673,23.471472,9.422467
9,41.862726,33.764638,21.864759,25.107848,43.401111,16.340532,27.201848,34.202297,45.941593,9.452842
10,34.389432,45.070001,21.883833,25.166405,39.659337,16.397492,27.321834,34.249337,45.93932,9.371647
11,19.287448,41.830873,22.017021,29.042504,32.292494,24.098159,35.112535,42.205779,46.509028,9.510576
12,35.141978,38.425022,18.37991,29.548511,40.406745,24.512562,20.036497,42.434093,46.724783,9.597221
13,23.43779,30.492506,18.420552,36.860127,40.098965,31.917876,23.757446,42.251099,46.547216,9.723846
14,34.362991,41.351892,22.010055,17.72127,35.927041,27.816135,23.506657,46.472859,42.164792,9.634694
15,26.936564,41.417757,29.603529,21.499122,32.194407,35.297677,12.2446,46.484764,42.167052,13.349077
16,34.656736,37.945464,18.202795,25.294735,40.131757,28.077106,19.84802,42.311106,46.583277,9.696058
17,34.512043,45.343482,18.22818,25.285756,35.981972,27.991733,12.241553,38.029149,46.225767,17.174859
18,34.116403,37.359563,17.963388,21.194483,39.459657,27.619796,11.992578,41.653046,45.908462,20.69367
19,38.417013,41.664648,18.031904,13.7589,32.329867,27.893496,23.439821,42.082225,46.296011,16.945516
20,34.131568,41.115607,18.118904,28.785994,35.593237,20.187644,12.158874,41.513667,45.738569,20.671773
21,30.678204,45.122975,22.090113,36.57139,39.727724,24.272118,16.165833,11.880754,46.046577,28.533206
22,45.586687,41.325558,18.044956,21.32056,35.870746,27.799415,12.140252,30.43393,45.97275,20.711208
23,50.653165,27.287021,34.339971,22.45213,29.445953,36.459471,17.068308,43.035629,12.224993,37.182988
24,23.309989,38.391871,18.362002,33.307363,49.233923,28.247682,12.178276,43.755771,39.261419,21.201266
25,22.994395,26.345912,14.376868,17.520903,28.512651,35.735175,47.84284,38.540048,42.882998,28.695232
26,31.057257,42.05728,18.405642,14.122385,36.432391,31.968529,23.753078,47.135928,42.81383,17.272346
27,27.860876,50.241089,19.25171,22.469804,29.459961,32.848091,43.728745,35.543833,12.1319,37.295722
28,41.627157,29.741416,21.679772,24.908656,43.234518,16.305809,12.034058,34.127091,45.887947,28.314348
29,30.885581,37.954242,45.044901,21.762869,40.009043,24.41763,16.350172,30.889598,46.610359,9.875845
30,26.87236,33.919859,14.510887,28.939716,36.005277,20.31232,38.676912,41.894097,46.124315,13.452324
31,38.406329,34.0355,22.071674,14.003123,39.951198,24.162641,27.41222,42.237963,46.506234,13.45112
32,23.994056,38.572745,26.68639,18.587226,48.351346,28.849234,43.41654,31.465599,12.063319,37.056095
33,26.856217,30.021266,18.166194,44.045667,35.908044,31.661423,12.121606,38.112524,46.077385,17.199416
34,26.979255,41.770768,22.071708,29.097863,36.201957,31.831377,12.279772,47.502393,42.749998,13.364231
35,27.346186,42.05382,45.326614,32.990307,28.639663,20.540486,12.285538,34.430586,46.559878,13.255148
36,26.89144,34.095941,22.021931,44.483829,36.282615,28.123446,12.206184,38.523852,46.600634,13.429803
37,42.20536,33.92723,29.517234,36.739088,20.622629,24.024877,12.10259,47.214183,42.806013,13.245319
38,26.975879,46.721408,22.012026,33.011044,48.822781,28.030746,12.136524,34.686004,38.961222,13.217348
39,34.608218,37.997133,25.727377,21.386848,40.178572,27.971193,11.97704,47.771213,43.185226,13.104018
