,A,B,C,D,E,F,G,H,I,J
0,42.010031,52.950118,16.262288,43.82458,47.047447,25.969905,21.375027,16.834832,28.868832,31.170521
1,36.190677,43.37654,19.533032,38.30858,50.407906,13.876481,24.926952,28.218744,44.074928,18.203428
2,40.734019,51.694365,43.43421,35.117808,30.656755,18.427059,25.658036,21.222819,12.909929,42.412321
3,27.826569,31.211395,42.256072,22.286232,33.377066,17.292359,43.88829,12.306428,47.652969,33.497757
4,24.317035,35.651655,42.900452,38.459337,50.521762,25.449885,28.772706,16.438683,44.24393,10.45934
5,40.723452,51.906539,43.474395,46.826324,34.457425,22.316028,17.882697,25.107506,12.932578,26.896082
6,40.801422,52.169362,43.720277,47.062439,34.772173,30.273399,18.005895,21.320248,13.052272,23.162245
7,23.913099,46.489376,18.892384,33.759932,40.906781,28.803189,24.367327,12.206329,47.428972,33.303999
8,27.922225,38.987614,34.530287,41.695426,45.030062,21.206207,16.751547,12.381326,47.766186,25.760163
9,31.742599,46.607908,26.775826,33.885353,41.02255,21.20643,16.721955,12.344349,47.566872,33.404876
10,39.768419,47.006566,30.897906,26.417854,41.441849,21.423289,16.838616,12.346914,47.965721,29.892085
11,35.458536,42.720086,22.720381,45.571943,37.121318,28.84943,16.557825,12.185558,47.670121,21.729802
12,24.164798,43.421305,30.919487,34.293041,50.705395,25.284259,13.199718,36.064543,44.527323,14.365568
13,27.764828,47.889098,30.589934,33.952909,50.137066,21.112739,12.882392,16.121939,40.018939,33.581797
14,32.103028,39.487764,42.901973,26.569516,33.87956,17.517816,20.941486,12.565589,48.340001,41.885239
15,31.929662,43.088252,34.672621,26.343351,37.483572,21.279731,12.942536,16.240882,44.063624,46.470958
16,31.979869,43.126118,22.9676,18.500858,45.40627,13.566174,32.577492,24.195281,48.109159,33.842326
17,32.215524,52.338756,15.529603,26.675188,37.865342,17.759322,40.738735,20.515348,44.481661,30.134109
18,44.714558,51.93647,27.131867,30.428272,46.46124,21.572245,17.084138,12.658725,36.456449,30.032136
19,36.276888,48.486518,19.504887,43.425813,26.25839,13.913283,21.161786,28.442568,36.569517,46.97887
20,32.049271,52.101515,26.998436,47.053826,42.630985,33.170208,16.955505,20.296771,36.432569,10.495152
21,24.355142,48.381185,19.438392,38.352488,26.000488,13.926373,28.846843,32.213032,40.571334,46.827219
22,35.896575,47.310401,23.127381,30.352601,41.425869,25.397944,16.982994,35.904346,48.5467,10.537544
23,32.393668,52.375348,44.008065,39.612974,26.211142,13.964907,17.267012,20.641475,32.97956,43.063778
24,32.398493,48.602873,23.484632,26.769911,38.031362,13.934352,17.21321,32.34862,40.655561,46.950003
25,28.589394,45.322969,15.518081,31.048429,34.591481,17.742326,21.110055,49.803183,37.381197,43.83243
26,43.71749,23.552864,19.053234,26.381658,37.674718,29.171364,12.89807,31.988079,44.213947,46.640126
27,28.214658,35.531422,30.974977,14.772957,37.731317,17.484557,20.86196,39.97881,44.335229,46.781716
28,36.587297,43.91264,47.21815,26.994901,30.345123,17.905342,13.477025,20.760164,48.753139,34.367122
29,39.955068,31.685883,34.993353,14.947952,45.444413,25.436189,20.965111,16.428706,48.004814,37.709277
30,20.3562,43.193195,34.831751,22.515572,29.811909,13.682995,24.851115,48.609092,44.166922,33.858249
31,32.298611,44.518133,51.713011,22.748865,33.950895,13.884806,24.966315,16.646628,36.657714,42.94594
32,53.099456,44.687217,48.021657,18.976864,22.340588,13.993192,25.131493,37.444043,28.933358,31.338577
33,41.365817,52.778142,44.098398,15.118947,35.222119,17.938308,21.265515,24.675886,28.981074,43.260059
34,28.414795,48.225146,43.75175,15.012998,29.982355,21.70199,17.20683,37.043508,32.641836,46.63182
35,52.851038,44.632929,36.381322,23.134801,39.124247,14.190802,17.48934,29.63569,25.144229,42.901057
36,32.060856,48.100145,23.233306,14.951005,42.607203,17.744843,24.956832,37.038323,32.521768,46.64886
37,28.44421,48.536771,31.245751,15.030212,42.809048,21.755472,32.879991,16.600801,36.672348,46.947886
38,28.008231,47.735437,50.909785,22.573443,42.031526,17.66442,28.474418,12.802353,35.862863,29.523683
39,28.191517,35.394408,30.913408,14.758393,22.001755,17.441988,40.344194,48.416208,43.997733,33.937085
40,27.935341,42.827712,22.908576,14.790949,29.524589,36.713383,16.821999,31.757403,47.347853,41.04096
41,43.773629,26.96069,30.220308,14.466933,32.921948,17.093934,20.365715,43.794275,35.596926,45.571386
42,48.604754,39.026895,19.040765,14.657193,21.789827,25.101784,32.346069,27.866445,40.272583,46.524375
43,24.005816,51.116157,30.512152,14.68357,36.99773,24.972696,44.409988,16.19407,39.440746,29.305504
44,35.536538,38.806814,30.679102,22.455512,40.967946,25.166762,43.66282,16.440246,47.397562,10.589897
45,24.218695,46.597291,26.895759,18.653992,33.447189,29.007041,39.92557,12.626553,47.4338,33.386845
46,24.420609,35.099434,19.404712,26.320921,29.530269,40.355277,48.386011,35.399166,43.446664,10.64531
47,16.793912,53.270111,27.803834,19.045311,34.338759,29.987095,41.990724,45.99392,36.983452,18.7828
48,41.081285,51.948186,43.85561,19.245049,14.707691,26.739486,29.994173,33.330005,21.309709,42.77165
49,40.726456,51.546577,47.17255,23.831847,30.898124,14.075636,25.917798,32.961399,17.177287,38.470945
