,raspi0,raspi1,raspi2,raspi3,raspi4,raspi5,raspi6,raspi7,raspi8,raspi9
0,0.8102466793168881,0.7950664136622391,0.8102466793168881,0.8064516129032258,0.8026565464895635,0.8121442125237192,0.8102466793168881,0.8064516129032258,0.8121442125237192,0.7836812144212524
5,0.8121442125237192,0.7874762808349146,0.8102466793168881,0.8102466793168881,0.8026565464895635,0.8102466793168881,0.8102466793168881,0.8121442125237192,0.8083491461100569,0.7874762808349146
10,0.8121442125237192,0.7912713472485768,0.8121442125237192,0.8064516129032258,0.8064516129032258,0.8121442125237192,0.8083491461100569,0.8121442125237192,0.8083491461100569,0.7874762808349146
15,0.8121442125237192,0.7912713472485768,0.8064516129032258,0.8178368121442126,0.8178368121442126,0.8121442125237192,0.8102466793168881,0.8121442125237192,0.8216318785578748,0.7893738140417458
20,0.8102466793168881,0.8045540796963947,0.8102466793168881,0.8178368121442126,0.8159392789373814,0.8121442125237192,0.8178368121442126,0.8121442125237192,0.8102466793168881,0.7874762808349146
25,0.8121442125237192,0.8045540796963947,0.8121442125237192,0.8159392789373814,0.8235294117647058,0.8121442125237192,0.8064516129032258,0.8102466793168881,0.8083491461100569,0.8083491461100569
30,0.8102466793168881,0.8102466793168881,0.8083491461100569,0.825426944971537,0.8481973434535104,0.8121442125237192,0.8197343453510436,0.8083491461100569,0.8159392789373814,0.8083491461100569
35,0.8178368121442126,0.8026565464895635,0.8121442125237192,0.8349146110056926,0.8235294117647058,0.8140417457305503,0.8140417457305503,0.8083491461100569,0.8159392789373814,0.8102466793168881
40,0.8178368121442126,0.8064516129032258,0.8102466793168881,0.825426944971537,0.8178368121442126,0.8159392789373814,0.8064516129032258,0.8102466793168881,0.8216318785578748,0.8007590132827325
45,0.8121442125237192,0.8102466793168881,0.8083491461100569,0.8330170777988615,0.8197343453510436,0.8121442125237192,0.8159392789373814,0.8102466793168881,0.8292220113851992,0.8102466793168881
