,A,B,C,D,E,F,G,H,I,J
0,50.967153,53.671798,39.409406,42.074611,19.325659,26.190492,54.238817,27.264701,17.228592,45.224245
1,29.316391,32.08502,51.625654,37.501069,40.155566,42.773329,49.643931,27.13715,50.864149,11.339936
2,42.116395,36.38403,47.504648,29.07887,40.164034,21.712204,54.030703,14.467942,46.744459,40.959203
3,37.448422,31.804053,42.718718,37.059357,43.803027,17.342656,49.038946,18.429993,50.250727,40.378927
4,46.332425,61.801508,51.701804,24.795144,27.44341,42.833396,28.646129,14.411374,29.841333,45.238029
5,46.062153,48.800307,34.653962,49.919487,19.041222,34.275176,49.633992,22.776776,17.050745,49.264319
6,29.379972,44.784467,38.969729,20.562683,48.686411,42.909547,49.884985,27.046809,21.362181,49.606126
7,41.846947,27.769116,47.261062,28.896269,18.911236,29.990192,54.005585,35.312291,42.220436,45.15277
8,46.423244,53.43826,39.1242,20.616057,27.551219,21.814461,54.485367,40.020733,25.717802,45.61608
9,29.205298,31.897808,34.61745,45.755584,19.002294,38.480828,113.912307,31.188205,42.391197,45.076449
10,29.175459,48.894919,30.381587,20.479895,31.500401,38.522425,49.758843,31.233333,50.997711,40.958107
11,42.365919,28.101389,35.078989,29.242218,40.48674,17.727032,46.062191,40.254219,51.489208,45.61948
12,33.297529,27.623969,43.15233,37.330725,18.80938,29.970074,45.543596,39.750828,111.05714,45.258906
13,50.339931,27.539103,38.797538,20.32112,31.4991,25.724669,49.743355,35.446414,50.962398,40.875975
14,50.386214,44.682371,26.147097,28.863799,18.883272,30.038128,53.945308,31.275795,42.429192,45.107826
15,37.417826,40.184867,26.047758,45.601624,18.782998,25.663395,113.709354,35.23311,42.160875,44.90713
16,54.573275,48.935203,34.646947,28.813592,18.738829,34.27435,19.919334,35.468846,46.604547,49.377861
17,46.143453,31.935347,47.340926,50.019865,18.796958,30.081473,32.809452,18.365988,50.751719,44.942164
18,50.344159,36.090771,51.658135,28.786948,18.820323,38.593162,32.802264,18.435729,46.797732,49.493264
19,50.078023,40.271287,42.917292,24.489655,18.781973,25.677171,49.316628,26.881777,42.048071,48.941782
20,45.997968,27.601173,47.212785,28.78696,18.838295,29.935662,45.277027,31.011803,46.489866,49.235427
21,41.882343,48.79593,26.203216,28.863115,18.900863,46.918256,36.920917,26.978643,110.905228,45.080798
22,29.336697,44.628043,47.281647,33.115237,19.052516,25.873198,53.956589,31.230867,46.609418,40.793579
23,33.321907,27.678252,38.781578,45.739955,18.852037,29.920756,49.659788,35.367466,110.924598,40.825898
24,50.518139,27.879513,43.328547,37.543896,18.987536,30.146034,54.077,22.828097,42.467222,45.239876
25,50.109843,27.564912,30.233723,37.115596,18.857364,29.898537,53.677903,35.177984,46.342519,40.627698
26,37.833031,40.569422,26.325872,41.710869,19.061612,25.965025,49.908609,39.854514,42.57683,49.533306
27,54.793816,32.162059,47.558785,54.382239,19.259284,34.480788,28.718104,35.624433,17.230565,49.411606
