,A,B,C,D,E,F,G,H,I,J
0,43.926734,50.80061,28.35316,43.700894,16.979853,19.645073,47.543489,29.267517,48.755564,22.022007
1,27.217144,34.024129,36.759039,26.885571,17.073504,44.775751,34.89177,37.583814,48.672136,42.94162
2,48.134792,50.820731,53.524667,26.836146,16.982812,36.500441,30.76967,24.996889,48.656299,13.582193
3,31.365878,42.805096,49.740537,31.398023,17.085513,49.378841,18.190984,37.988332,49.015785,26.583937
4,44.174611,51.049874,28.522628,52.27964,17.11792,32.447675,26.713385,37.914759,48.910387,13.747055
5,27.20848,55.167974,36.89048,31.144945,17.162181,36.597441,43.517369,20.903801,48.798392,34.751745
6,27.115294,29.770199,45.124688,52.093513,17.040105,32.197703,43.359684,33.438796,48.828893,22.060348
7,40.153075,34.503052,41.365934,44.040818,17.533824,20.144281,22.828738,42.179374,49.044403,43.34619
8,39.979886,25.91763,41.21795,43.861771,17.352157,49.228155,22.653021,42.009539,48.93522,22.313188
9,27.293742,46.786255,49.517362,35.434907,17.197553,36.614707,47.703126,21.009147,48.883184,22.225568
10,52.300899,38.264768,45.174945,26.933212,17.052288,28.116651,34.964884,16.681704,49.107173,43.04759
11,27.708969,43.173023,29.009165,31.729312,17.514363,45.613095,39.858408,46.843832,49.585062,26.839
12,31.866063,26.134378,41.647341,35.881034,17.496022,41.401421,27.103412,42.623504,49.631828,43.889851
13,35.838877,55.640853,45.65277,48.416554,17.119729,24.127866,31.13776,33.892878,49.384201,13.849627
14,27.354517,34.413068,37.180643,48.495398,17.199982,36.909243,22.636333,38.263697,49.615203,43.826722
15,35.940868,55.690966,28.780205,48.532634,17.315815,32.749092,39.752181,16.990604,49.455907,30.984815
16,40.050031,25.65948,32.709085,39.841822,17.059939,45.272585,22.440353,38.009582,49.18926,43.434258
17,48.255327,42.592665,28.494747,48.017108,17.12039,28.242804,30.974257,46.254724,48.99254,13.783075
18,39.955915,34.30306,41.230787,43.92998,17.068786,24.157737,18.174623,42.149683,49.12197,43.366844
19,27.230588,38.474566,41.239059,48.251887,17.099956,23.976212,47.946708,25.208281,49.211589,34.956536
20,27.154472,29.890611,41.170787,43.906405,17.008258,28.091773,47.911377,42.135254,49.174534,26.279647
21,27.226721,55.628728,49.934372,31.31777,17.085028,32.562933,22.50539,38.130555,49.347319,30.832238
22,61.124682,46.952296,53.99464,27.150781,17.159569,28.377009,31.109811,42.226572,15.377136,30.780652
23,48.61505,34.450808,28.798269,39.989946,17.32463,49.671957,18.470685,42.391385,49.426904,26.638717
24,52.965288,42.967687,28.693611,31.39378,17.275804,19.906419,39.674732,29.670033,49.493108,43.711453
25,31.950279,56.113216,24.787186,44.68313,17.535772,45.891291,31.53401,25.750094,49.87142,31.292805
26,35.832385,25.908064,54.275238,27.153379,17.266602,41.2004,31.156153,42.4689,49.477196,30.902289
27,40.240137,43.009234,45.798416,27.355453,17.426206,45.551007,27.119727,17.086789,49.490997,43.789096
28,40.485239,51.823943,46.089247,53.097558,17.492158,37.289657,18.670697,21.430819,49.869247,22.762951
29,32.221399,47.799439,33.568418,36.380487,17.584174,50.401658,44.632064,17.340338,50.181726,31.626194
30,35.938123,47.119111,41.46381,35.71693,17.337967,24.274633,18.518889,46.60124,49.343885,39.354696
31,48.762111,34.545296,41.617533,52.791963,17.422352,24.357171,44.017643,17.068494,49.47366,26.76568
32,31.541223,55.504264,24.385945,39.805766,17.143372,28.319743,39.567682,42.28173,49.194642,26.564515
33,53.010953,55.631914,41.747804,23.108736,17.292833,24.368308,27.210411,29.985126,49.282773,35.357242
34,39.917734,34.227531,49.464428,43.821314,17.278901,24.123443,18.420238,33.582831,48.792132,43.113417
35,48.331341,29.983716,41.177717,48.073944,17.214805,32.457866,47.742122,16.853207,48.907598,22.172043
36,39.952853,55.38558,24.385253,31.271572,17.141401,40.971037,43.676243,33.689568,49.092615,18.047425
37,56.706461,46.874197,49.60953,39.735278,17.072593,32.498299,18.256354,21.004971,48.973704,22.224949
38,31.892852,26.29343,37.337797,31.612967,17.380652,49.684549,39.742397,42.426654,49.310877,30.919539
39,35.811201,25.955072,53.817584,39.697148,17.250583,32.386843,43.452505,20.988172,48.819282,34.684599
40,35.77304,30.093728,41.240385,22.893762,17.218438,32.443888,39.392251,42.126659,49.059541,43.302513
41,52.793648,38.741957,54.029053,23.179061,17.500788,41.056127,35.318278,21.259516,49.056772,22.443374
42,31.664484,38.592935,49.824087,39.781611,17.300664,49.42639,18.410285,25.223417,51.465368,34.87702
43,54.834153,74.491757,44.70006,36.103337,20.61733,81.770818,59.303957,71.163146,20.868209,47.158669
44,69.847694,32.84708,52.537238,58.09439,21.045543,33.227033,67.02561,72.360952,77.526523,33.82637
45,89.870011,81.519865,65.998989,71.315214,20.354558,53.99651,30.736685,36.238501,41.857759,19.024786
46,41.59991,46.674068,65.608671,70.939689,21.000204,54.024289,45.387495,71.355432,21.370002,74.619068
47,91.032667,55.039384,32.232239,58.777368,21.488661,75.953624,32.256007,65.433176,56.893339,34.163003
48,48.941834,68.129277,87.215645,78.934618,21.181927,68.425571,24.827246,51.00657,28.436845,40.742828
49,48.056996,32.576711,58.427424,50.207425,20.714394,80.906432,58.489793,29.640841,62.157792,67.37168
50,41.104429,81.412617,44.994588,57.466929,20.728431,81.986931,24.39619,57.565624,63.155149,40.431144
51,61.162429,52.737457,78.385154,35.650739,20.291014,80.480292,58.480999,22.132559,34.37007,60.576879
52,76.16904,53.644964,45.142988,78.110987,20.817529,61.003452,31.334255,22.882806,49.179585,75.259656
53,68.738755,60.136343,30.654434,70.663692,20.812794,46.779876,72.663509,78.046914,27.748848,33.150496
54,40.839953,66.858244,79.152767,57.053363,20.621481,46.795469,38.199066,22.629616,62.245678,74.514426
55,48.5835,54.049043,73.067297,85.418175,21.108909,26.460534,31.721236,71.623919,49.485851,54.86225
56,52.965599,58.456359,63.725148,35.325726,20.242028,65.797229,70.987752,21.959139,33.418483,72.977948
