,A,B,C,D,E,F,G,H,I,J
0,19.470819,39.814185,31.12759,34.469172,50.33999,25.165387,44.802969,10.949234,19.074569,37.591956
1,18.594024,30.944806,26.332261,41.876943,33.207214,44.678119,48.131516,10.547855,18.897813,33.446123
2,18.364124,30.771974,42.320503,20.749071,33.158984,44.599826,47.84838,10.514923,22.879652,33.409805
3,31.439447,34.87268,22.269729,25.783123,37.217865,48.660415,40.128304,10.626544,14.865431,41.429972
4,18.260066,26.592712,29.929656,45.356428,32.807392,36.260458,47.7082,10.508344,18.898665,37.142614
5,18.414067,30.850179,34.252494,25.731771,37.065314,40.543467,47.991235,10.567496,18.896852,41.291507
6,22.382315,34.886559,38.311197,16.864887,29.11869,48.311827,43.852267,10.592297,22.879657,37.301843
7,18.339025,38.625057,30.10828,20.590038,32.813924,48.25834,43.729528,10.481827,22.75935,37.154437
8,30.971405,34.317855,17.038411,20.432233,44.46353,35.900446,47.322494,10.24698,22.640981,36.707735
9,18.164059,38.399934,20.983735,41.295775,32.818962,44.169962,47.637768,10.502512,26.592559,20.100087
10,18.663066,39.478286,30.810611,21.062314,33.677252,45.174275,48.604821,10.544757,23.221583,37.912738
11,18.084347,30.593218,34.046019,20.486416,36.90965,44.452978,47.936348,10.443644,22.713955,37.194275
12,18.254051,42.907791,25.229397,20.586818,37.186795,48.461429,44.030549,10.465641,26.882777,29.45378
13,14.473841,38.602637,25.127551,20.602124,48.634498,32.335335,43.611317,39.124285,26.709964,12.280446
14,14.526919,38.93399,30.175136,25.594003,33.060197,48.341053,40.000128,43.313416,18.841092,12.422393
15,14.518464,35.16396,30.524505,16.843057,37.351029,44.809951,48.302149,23.640444,19.086218,37.593776
16,18.30187,46.553303,25.994654,29.537647,32.866212,36.352052,47.763822,10.513893,18.776242,37.121018
17,31.134615,34.564599,26.123271,21.536749,36.912174,40.407791,43.766682,10.293547,14.707712,45.016491
18,18.323265,30.76952,21.17326,33.642311,37.029421,48.553477,43.90934,10.506128,22.847777,37.308117
19,18.24333,34.431771,29.862402,20.559931,36.772854,48.003776,43.533826,10.460922,22.698773,36.967317
