,A,B,C,D,E,F,G,H,I,J
0,28.243676,30.929086,46.653319,36.417811,17.84327,50.555182,27.406429,43.081137,50.150523,31.308491
1,23.525728,39.230282,24.799787,49.0521,51.778711,37.343734,40.114631,21.408088,49.960746,22.633852
2,27.623033,30.348451,46.011269,53.077129,17.353373,37.171224,27.012295,42.679342,49.825225,26.673575
3,27.800828,30.632584,33.416464,36.10277,17.479931,50.234706,44.449047,34.258955,49.880577,35.562238
4,45.000075,47.836719,24.695676,27.53804,17.418784,33.097413,44.557767,25.775453,50.244441,44.37708
5,40.984626,48.073063,55.089143,49.288994,17.668837,24.783725,27.556394,34.616416,50.174888,14.351911
6,44.908669,34.960242,54.540879,27.613885,17.532325,33.183628,39.933789,51.115375,15.673562,39.638681
7,27.359389,51.091887,41.195992,35.517144,17.201716,53.411945,22.506295,46.204374,36.302095,22.207057
8,27.255655,34.285585,37.015669,39.741082,17.171099,40.923934,22.475745,46.310922,49.018886,39.112578
9,23.345177,47.012671,24.479102,35.583854,50.719121,24.155414,26.902834,42.135007,48.981122,30.853737
10,23.495207,26.154183,41.531047,31.571076,51.01759,24.30586,43.827002,38.117732,49.156405,26.599377
11,27.58226,42.76866,53.720882,27.152882,17.325372,40.791643,26.802461,41.920991,48.769918,26.420113
12,27.912165,30.617438,37.716079,49.049783,17.602042,37.49006,48.808792,25.788888,50.009881,35.593314
13,27.747098,56.015661,45.965958,40.138264,17.369511,45.574043,22.744731,29.697246,49.467929,22.399631
14,23.581108,43.442071,29.042442,53.270113,21.729263,28.761274,31.548549,42.849653,50.009308,35.528999
15,49.142103,39.11224,29.123282,31.820503,17.520534,37.313051,48.85076,42.769391,50.115307,14.094373
16,23.702689,34.948695,37.755748,27.621661,38.991345,41.686119,53.0644,17.12548,45.666194,39.828588
17,40.473223,26.277426,41.69985,44.404451,17.438276,24.343617,27.067276,46.841667,49.659188,39.479661
18,40.595332,51.873176,24.711707,44.545755,17.490375,50.046675,22.907059,34.187292,49.782147,22.589944
19,23.514279,43.186665,54.588267,23.109822,42.800573,24.224294,26.934582,42.589286,49.737816,26.659236
