,A,B,C,D,E,F,G,H,I,J
0,36.318933,39.508926,27.223215,18.678557,41.435466,29.172191,20.639983,12.161067,47.690013,41.118687
1,19.407075,38.405067,33.942525,21.637038,40.50264,24.405463,27.72182,11.573379,43.122074,45.517321
2,19.315345,34.495081,22.072177,25.480577,41.666811,28.286762,44.439921,11.468041,35.496962,105.843997
3,30.993247,26.547077,22.126013,38.065786,41.405931,16.448018,44.135285,11.558302,31.437271,45.471697
4,39.226871,30.82626,26.271842,21.786486,32.977951,16.745212,48.495197,11.772286,39.628012,42.004195
5,43.322582,38.904626,34.375798,21.824606,25.164983,16.769816,28.052059,11.688789,43.574444,105.999917
6,35.355701,23.045718,42.048822,17.932736,36.943408,24.619448,27.958033,11.730001,43.447162,45.926717
7,44.755566,24.900415,47.742822,19.404063,32.505791,27.515613,49.40743,52.842028,12.142912,34.561962
8,35.671287,27.308885,18.827608,14.466672,37.343485,21.111042,28.419378,44.428616,39.935986,46.280538
9,27.27564,30.637487,18.424108,13.990367,40.612708,20.524458,31.646748,35.007297,47.240004,40.771971
10,27.57723,34.815063,18.666379,14.187475,21.312134,28.555671,40.63752,44.046369,35.603449,45.818695
11,19.433565,47.402237,30.16959,21.739077,37.882304,24.528798,40.652888,11.657212,31.763107,106.023204
12,27.281822,43.536682,18.286117,21.708812,32.928178,28.43333,44.689132,11.60112,35.631652,46.016687
13,24.322115,39.513952,27.175674,34.435012,45.717196,17.603206,28.797162,48.040897,12.104971,38.063131
14,27.443693,38.690547,34.20756,29.705405,40.955952,16.756099,20.185141,11.733298,43.655496,46.052191
15,19.217847,31.505438,38.846267,26.446694,41.602622,33.245295,44.447261,11.534508,19.730508,45.759443
16,23.291691,44.942516,40.174733,17.728956,29.631782,24.70875,50.094453,11.537311,32.51336,43.440095
17,20.286737,35.716522,47.943243,22.499281,37.852299,29.347509,24.788625,12.158621,40.59651,46.908993
18,15.349038,38.379939,26.020485,21.528748,28.801214,16.456475,31.669066,43.856331,39.362213,105.745276
19,23.308276,30.733731,42.149293,17.594567,37.026104,24.476319,31.93109,11.494567,43.763814,106.194703
20,23.277145,43.411133,30.069838,17.69266,45.582109,24.375378,36.598601,11.536876,31.584063,105.846963
21,19.276784,42.195195,33.747794,21.45488,28.70545,24.255389,35.481761,11.590674,43.110351,105.541714
22,19.356681,42.338649,29.956819,21.587054,36.716066,24.375987,31.663644,11.566582,43.435804,45.894676
23,23.405063,43.611589,38.977772,17.846152,29.012706,24.538168,44.812354,11.775578,31.763733,46.14813
24,40.4487,32.026352,35.395344,18.255934,42.074098,21.430189,25.034727,11.712007,44.766654,107.397476
