,raspi0,raspi1,raspi2,raspi3,raspi4,raspi5,raspi6,raspi7,raspi8,raspi9
0,0.098,0.1135,0.1032,0.101,0.0982,0.0892,0.0958,0.1028,0.0974,0.1009
5,0.098,0.1135,0.1032,0.101,0.0982,0.0892,0.0958,0.1028,0.0974,0.1009
10,0.098,0.1135,0.1032,0.101,0.0982,0.0892,0.0958,0.1028,0.0974,0.1009
15,0.098,0.1154,0.1032,0.101,0.0982,0.0892,0.0958,0.1028,0.0974,0.1009
20,0.1632,0.1435,0.1032,0.101,0.0982,0.0892,0.0958,0.1028,0.0974,0.1009
25,0.3187,0.3258,0.1032,0.1011,0.1189,0.0892,0.2569,0.1028,0.0974,0.1009
30,0.4653,0.5301,0.1087,0.1012,0.0983,0.0892,0.1946,0.1198,0.0974,0.1076
35,0.4487,0.3713,0.1669,0.1134,0.3368,0.0892,0.2719,0.1075,0.0974,0.1009
40,0.6313,0.6224,0.2728,0.1116,0.0983,0.0892,0.5382,0.1405,0.0974,0.2141
45,0.4306,0.5549,0.2068,0.2759,0.5322,0.1946,0.4535,0.3019,0.0974,0.1009
50,0.6355,0.5385,0.3417,0.101,0.2891,0.3271,0.323,0.1362,0.0974,0.1536
55,0.3826,0.6493,0.2206,0.1562,0.2908,0.2515,0.6398,0.3217,0.112,0.1283
60,0.7472,0.6509,0.1141,0.114,0.3101,0.0943,0.5566,0.1894,0.0974,0.1245
65,0.7516,0.6297,0.1182,0.5117,0.4654,0.3456,0.5672,0.3848,0.0977,0.1826
70,0.6811,0.5695,0.2772,0.1081,0.5433,0.3898,0.56,0.4431,0.0974,0.1563
75,0.5503,0.7153,0.2438,0.3937,0.6198,0.1012,0.6595,0.4012,0.1203,0.1504
80,0.8097,0.7915,0.2233,0.2033,0.4557,0.2445,0.6578,0.4797,0.1005,0.2853
85,0.7806,0.7856,0.4309,0.4006,0.6344,0.4674,0.7094,0.2487,0.1022,0.2234
90,0.7422,0.6557,0.3659,0.4789,0.7044,0.3595,0.7659,0.5589,0.1947,0.3488
95,0.7919,0.763,0.2999,0.3919,0.6998,0.4282,0.7715,0.6449,0.4341,0.467
100,0.7648,0.7551,0.5164,0.3798,0.7173,0.2433,0.7455,0.5515,0.3751,0.4852
