,raspi0,raspi1,raspi2,raspi3,raspi4,raspi5,raspi6,raspi7,raspi8,raspi9
0,0.098,0.1135,0.1032,0.101,0.0982,0.0892,0.0958,0.1028,0.0974,0.1009
5,0.098,0.1135,0.1032,0.101,0.0982,0.0892,0.0958,0.1028,0.0974,0.1009
10,0.098,0.1135,0.1032,0.101,0.0982,0.0892,0.0958,0.1028,0.0974,0.1009
15,0.1502,0.1383,0.1032,0.101,0.0982,0.0892,0.0958,0.1028,0.0974,0.1009
20,0.1881,0.2163,0.1032,0.101,0.0982,0.0892,0.0958,0.1029,0.0974,0.1009
25,0.3612,0.3192,0.1034,0.101,0.0992,0.0892,0.1596,0.1161,0.0974,0.1009
30,0.4097,0.4545,0.1254,0.101,0.1255,0.0892,0.1201,0.1791,0.0974,0.1009
35,0.5732,0.5783,0.1089,0.1066,0.2276,0.1231,0.2729,0.2836,0.0974,0.1022
40,0.6116,0.5215,0.1142,0.1024,0.3878,0.0892,0.336,0.2798,0.0999,0.1009
45,0.641,0.5555,0.1366,0.2656,0.1627,0.1361,0.3347,0.2026,0.0974,0.2829
50,0.7304,0.4512,0.285,0.101,0.4465,0.2644,0.7074,0.3248,0.0974,0.1027
55,0.6456,0.6191,0.358,0.1965,0.2844,0.124,0.5011,0.3515,0.0974,0.1816
60,0.7198,0.6831,0.405,0.2917,0.4206,0.2375,0.6033,0.4806,0.0974,0.121
65,0.7712,0.7089,0.2224,0.1074,0.4874,0.3564,0.4895,0.2864,0.0974,0.2766
70,0.6781,0.6126,0.2812,0.3174,0.5265,0.1244,0.5708,0.3417,0.1624,0.1748
75,0.8176,0.5873,0.2686,0.245,0.4696,0.3602,0.6819,0.5342,0.1943,0.3947
80,0.8001,0.7248,0.2783,0.2561,0.4987,0.3105,0.3898,0.2853,0.1897,0.3113
85,0.7548,0.7077,0.5357,0.3676,0.5395,0.4344,0.5827,0.5694,0.0975,0.326
90,0.761,0.7582,0.5303,0.5204,0.4883,0.3184,0.7418,0.6849,0.1314,0.4185
95,0.8123,0.7442,0.3003,0.1877,0.6816,0.4135,0.7344,0.5929,0.1967,0.4049
100,0.8447,0.8246,0.5798,0.5542,0.7145,0.4724,0.7957,0.6922,0.3481,0.5444
